question,answer
Коррозия,Не надежный процесс изготовления и контроля. Что бы исправить Измерение на входном контроле
Качество реза,Износ рабочей части (лезвия) режущего инструмента Что бы исправить 100% контроль качества реза при выполнении операции
Кривизна заготовки превышает 5мм на 1м,Сбой положения правильных роликов Что бы исправить Проверка первой детали
Жидкости во внутренней полости трубы,Не надежный процесс изготовления и контроля. Что бы исправить Проверка первой детали
Деформация,Износ роликов Что бы исправить Проверка первой детали
"Несоответствие диаметр отверстия трубки (2,4 мм min)",Износ рабочей части (лезвия) режущего инструмента Что бы исправить Контроль в начале смены и периодически каждые 4 часа
Отсутствует идентификация,Бирка выпала. Ненадежно закреплена Что бы исправить 100% осмотр положение бирки на пачке
Неверная идентификация изделий,Идентификация упакованных трубок несоответствующей биркой Что бы исправить Визуальный контроль операции упаковки; внутренние аудиты продукции и процесса
Длина заготовки меньше ,Самопроизвольное перемещение трубки при выключении станка Что бы исправить Проверка первой детали
Длина заготовки меньше ,"Не соответствующее давление на ремнях транспортера Что бы исправить Длина трубки автоматически контролируется, датчиком, который находится после узла осуществляющего подачу трубы."
Длина заготовки больше,Ошибка при наборе длины заготовки на пульте Что бы исправить Проверка первой детали
Размещение комплектующих в  нарушение планировочного решения,Размещение тары не по планировочному решению Что бы исправить Визуальный контроль размещения комплектующих при получении 
Отсутствие идентифицированой бирки на тарном месте,"Неполный комплект сопроводительных документов при поступлении комплектующих, несвоевременное оформление документации Что бы исправить Визуальный контроль за наличием сопроводительных документов на каждом тарном месте"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
Деформация,"Вмятины, трещины на рабочих поверхностях губок Что бы исправить Проверка первой детали"
Заусенец на торце трубки,Завальцовывание заусенца во внутреннюю полость трубки Что бы исправить 100% контроль качества зачистки торцов труб
"Внутренний диаметр трубы меньше 2,6 мм",Износ инструмента (специальной пластины) Что бы исправить 100% контроль качества зачистки
"Подрезка торца более чем 0,5мм",Корректировка программы в процессе работы станка Что бы исправить Проверка параметров программы один раз в неделю
"Подрезка торца более чем 0,5мм",Люфт в механизме креплении упора Что бы исправить проверка длины трубки после зачистки контролером ОТК
Следы  от инструмента на поверхности трубки не допускается,"Прилипание металлической стружки к трубке Что бы исправить Периодическая проверка внешнего вида
Периодическая продувка рабочей зоны воздухом, давление воздуха не менее 4кгс/см2"
Следы  от инструмента на поверхности трубки не допускается,не удалена стружка из бункера циклона Что бы исправить Удаление стружки из циклона не реже чем один раз в год
Деформация,"Вмятины, трещины на рабочих поверхностях губок Что бы исправить Проверка первой детали"
Заусенец на торце трубки,Завальцовывание заусенца во внутреннюю полость трубки Что бы исправить 100% контроль качества зачистки торцов труб
"Внутренний диаметр трубы меньше 2,6 мм",Износ инструмента (специальной пластины) Что бы исправить 100% контроль качества зачистки
"Подрезка торца более чем 0,5мм",Корректировка программы в процессе работы станка Что бы исправить Проверка параметров программы один раз в неделю
"Подрезка торца более чем 0,5мм",Люфт в механизме креплении упора Что бы исправить проверка длины трубки после зачистки контролером ОТК
Следы  от инструмента на поверхности трубки не допускается,"Прилипание металлической стружки к трубке Что бы исправить Периодическая проверка внешнего вида
Периодическая продувка рабочей зоны воздухом, давление воздуха не менее 4кгс/см2"
Следы  от инструмента на поверхности трубки не допускается,не удалена стружка из бункера циклона Что бы исправить Удаление стружки из циклона не реже чем один раз в год
Отсутствует идентификация,Бирка выпала. Ненадежно закреплена Что бы исправить 100% осмотр положение бирки на пачке
Неверная идентификация изделий,Идентификация упакованных трубок несоответствующей биркой Что бы исправить Визуальный контроль операции упаковки; внутренние аудиты продукции и процесса
Количество полуфабрикатов не соответсвует документам,"Незавершенная операция упаковки
ошибка в заполнение тары Что бы исправить Визуальный контроль операции упаковки; внутренние аудиты продукции и процесса"
"Операция контроля выполнена не в полном объеме, не правильно.",Несвоевременная аттестация средств контроля / измерения Что бы исправить Контроль даты аттестации средств контроля / измерения по идентификационным табличкам / по графику поверки
"Операция контроля выполнена не в полном объеме, не правильно.",Ошибка контролера Что бы исправить Наблюдение за оператором согласно графика. Аудит процесса. Обнаружение несоответствующих комплектующих на последующих операциях
"Операция контроля выполнена не в полном объеме, не правильно.","Объем выборки и периодичность контроля недостаточны Что бы исправить Периодический пересмотр ПУ в соответсвии с процедурой, не реже 1-раза в год."
Размещение комплектующих в  нарушение планировочного решения,Размещение тары не по планировочному решению Что бы исправить Визуальный контроль размещения комплектующих при получении 
Отсутствие идентифицированой бирки на тарном месте,"Неполный комплект сопроводительных документов при поступлении комплектующих, несвоевременное оформление документации Что бы исправить Визуальный контроль за наличием сопроводительных документов на каждом тарном месте"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
"Наличие трещин, канавок, рисок на вальцованной поверхности трубки и следы от инструмента на вальцованном участке трубки","Налипание стружки на рабочей поверхности инструмента (матрицы) Что бы исправить 100% контроль внешнего вида после выполнения операции
Через каждые 30мин производить чистку оснастки воздухом"
"Диаметр 7,1±0,18мм завышен ","Смещение упора в течении смены Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
"Диаметр 7,1±0,18мм занижен","Не отрегулирован упор Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
"Диаметр 3,2±0,15мм завышен","Поломка инструмента ""Пуансона"" Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
"Диаметр 3,2±0,15мм занижен","Износ инструмента (пуансона) Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
Параметры угла 114о30'±1о превышают предельно допустимые отклонения,"Износ матрицы Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
Концентрические поверхности трубки не соосносны,"Износ оборудования Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
"Значение радиуса R0,8±0,2мм выходят за пределы допустимых отклонений","Износ матрицы / увеличение глубины конусной поверхности в матрице . Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
"Значение радиуса R0,4±0,125мм выходят за пределы допустимых отклонений","Износ губок Что бы исправить Первая трубка при наладке станка, периодический контроль в течении смены"
На трубке отсутствует одна гайка,Ошибка рабочего Что бы исправить 100% контроль комплектности при выполнении операции
На трубке  несоответствующая гайка,Однотипность комплектующих Что бы исправить 100% контроль комплектности при выполнении операции
Гайка перевернута (Гайка на трубке с ориентирована резьбовой частью к концу трубки),Ошибка рабочего Что бы исправить 100% контроль комплектности при выполнении операции
"Диаметр 7,1±0,18мм завышен ",Смещение упора в течении смены Что бы исправить Контроль каждой первой трубки из пачки и через каждые 10шт
"Диаметр 7,1±0,18мм занижен",Не отрегулирован упор Что бы исправить Контроль каждой первой трубки из пачки и через каждые 10шт
"Наличие трещин, вмятин, рисок на вальцованной поверхности трубки и следы от инструмента на вальцованном участке трубки",Налипание стружки на рабочей поверхности инструмента (матрицы) Что бы исправить контроль одной трубки через каждые 25 шт.
Отсутствует идентификация,Бирка выпала. Ненадежно закреплена Что бы исправить 100% осмотр положение бирки на пачке
Неверная идентификация изделий,Идентификация упакованных трубок несоответствующей биркой Что бы исправить Визуальный контроль операции упаковки; внутренние аудиты продукции и процесса
Количество полуфабрикатов не соответсвует документам,"Незавершенная операция упаковки
ошибка в заполнение тары Что бы исправить Визуальный контроль операции упаковки; внутренние аудиты продукции и процесса"
"Операция контроля выполнена не в полном объеме, не правильно.",Несвоевременная аттестация средств контроля / измерения Что бы исправить Контроль даты аттестации средств контроля / измерения по идентификационным табличкам / по графику поверки
"Операция контроля выполнена не в полном объеме, не правильно.",Ошибка контролера Что бы исправить Наблюдение за оператором согласно графика. Аудит процесса. Обнаружение несоответствующих комплектующих на последующих операциях
"Операция контроля выполнена не в полном объеме, не правильно.","Объем выборки и периодичность контроля недостаточны Что бы исправить Периодический пересмотр ПУ в соответсвии с процедурой, не реже 1-раза в год."
Размещение комплектующих в  нарушение планировочного решения,Размещение тары не по планировочному решению Что бы исправить Визуальный контроль размещения комплектующих при получении 
Отсутствие идентифицированой бирки на тарном месте,"Неполный комплект сопроводительных документов при поступлении комплектующих, несвоевременное оформление документации Что бы исправить Визуальный контроль за наличием сопроводительных документов на каждом тарном месте"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
"Нарушение условий хранения (температура, влажность, освещенность, расположение)","Хранение материала в несоответсвующих местах (несоответствие указателя и материала) Что бы исправить Визуальный контроль, периодический контроль температуры и влажности"
Длина заготовки меньше ,Самопроизвольное перемещение трубки при выключении станка Что бы исправить Проверка первой детали
Длина заготовки меньше ,"Не соответствующее давление на ремнях транспортера Что бы исправить Длина трубки автоматически контролируется, датчиком, который находится после узла осуществляющего подачу трубы."
Длина заготовки больше,Ошибка при наборе длины заготовки на пульте Что бы исправить Проверка первой детали
Размещение комплектующих в  нарушение планировочного решения,Размещение тары не по планировочному решению Что бы исправить Визуальный контроль размещения комплектующих при получении 
Отсутствие идентифицированой бирки на тарном месте,"Неполный комплект сопроводительных документов при поступлении комплектующих, несвоевременное оформление документации Что бы исправить Визуальный контроль за наличием сопроводительных документов на каждом тарном месте"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
Геометрия не соответствует КД,"Не отрегулирован инструмент Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка длиннее,"Зазор между гибочной оснасткой и прижимной матрицей Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка длиннее,"Заготовка трубки несоответствующей длины Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка длиннее,"Не соответствующий упор Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка короче,"Заготовка трубки несоответствующей длины Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка короче,"Не соответствующий упор Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
"Следы от инструмента на поверхности трубки: царапины, риски, зажимы",Не отрегулирован зазор между рабочими частями гибочной оснастки Что бы исправить Проверка первой детали после наладки станка. 100% контроль внешнего вида после выполнения операции
Повреждение цинкового покрытия,"Острые кромки, задиры на оснастке Что бы исправить Проверка первой детали после наладки станка. 100% контроль внешнего вида после выполнения операции"
Геометрия не соответствует КД,"Не отрегулирован инструмент Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка длиннее,"Зазор между гибочной оснасткой и прижимной матрицей Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка длиннее,"Заготовка трубки несоответствующей длины Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка длиннее,"Не соответствующий упор Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка короче,"Заготовка трубки несоответствующей длины Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
Трубка короче,"Не соответствующий упор Что бы исправить Проверка 1 и последняя деталь 
при запуске партии"
"Следы от инструмента на поверхности трубки: царапины, риски, зажимы",Не отрегулирован зазор между рабочими частями гибочной оснастки Что бы исправить Проверка первой детали после наладки станка. 100% контроль внешнего вида после выполнения операции
Повреждение цинкового покрытия,"Острые кромки, задиры на оснастке Что бы исправить Проверка первой детали после наладки станка. 100% контроль внешнего вида после выполнения операции"
Ориентация гайки в роботе. Гайка находится в цанге.,"Ошибка рабочего Что бы исправить Рабочий цикл не запускается, пока губки не займут рабочее положение"
Расположение гайки на трубке / гайки расположены на концах трубы,"Гайки не разведены по краям трубы перед установкой в робот Что бы исправить Проверка расположения гаек перед выполнением операции, 100% контроль после извлечении детали из робота"
Расположение гаек на трубки относительно гибов согласно Кд,"Установка трубки в робот осуществлена за другую гайку Что бы исправить Проверка расположения гаек перед выполнением операции, 100% контроль после извлечении детали из робота"
Отсутствует идентификация,Бирка выпала. Ненадежно закреплена Что бы исправить 100% осмотр положение бирки на пачке
Неверная идентификация изделий,Идентификация упакованных трубок несоответствующей биркой Что бы исправить Визуальный контроль операции упаковки; внутренние аудиты продукции и процесса
Количество полуфабрикатов не соответсвует документам,"Незавершенная операция упаковки
ошибка в заполнение тары Что бы исправить Визуальный контроль операции упаковки; внутренние аудиты продукции и процесса"
"Операция контроля выполнена не в полном объеме, не правильно.",Несвоевременная аттестация средств контроля / измерения Что бы исправить Контроль даты аттестации средств контроля / измерения по идентификационным табличкам / по графику поверки
"Операция контроля выполнена не в полном объеме, не правильно.",Ошибка контролера Что бы исправить Наблюдение за оператором согласно графика. Аудит процесса. Обнаружение несоответствующих комплектующих на последующих операциях
"Операция контроля выполнена не в полном объеме, не правильно.","Объем выборки и периодичность контроля недостаточны Что бы исправить Периодический пересмотр ПУ в соответсвии с процедурой, не реже 1-раза в год."
Размещение комплектующих в  нарушение планировочного решения,Размещение тары не по планировочному решению Что бы исправить Визуальный контроль размещения комплектующих при получении 
Отсутствие идентифицированой бирки на тарном месте,"Неполный комплект сопроводительных документов при поступлении комплектующих, несвоевременное оформление документации Что бы исправить Визуальный контроль за наличием сопроводительных документов на каждом тарном месте"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
"Нарушение условий хранения (температура, влажность, освещенность, расположение)","Хранение материала в несоответсвующих местах (несоответствие указателя и материала) Что бы исправить Визуальный контроль, периодический контроль температуры и влажности"
Размещение комплектующих в  нарушение планировочного решения,Размещение тары не по планировочному решению Что бы исправить Визуальный контроль размещения комплектующих при получении 
Отсутствие идентифицированой бирки и штампа ОТК на тарном месте,"Неполный комплект сопроводительных документов при поступлении комплектующих, несвоевременное оформление документации Что бы исправить Визуальный контроль за наличием сопроводительных документов на каждом тарном месте"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
Посторонние включение во внутренней полости трубки,Попадание во внутреннюю полость посторонних включений во время изготовления трубок Что бы исправить 100% самоконтроль выполнения операции
Отсутствует идентификация,Отсутствует метка эмалью на трубке Что бы исправить 100% осмотр положение бирки на пачке
"Операция контроля выполнена не в полном объеме, не правильно.",Несвоевременная аттестация средств контроля / измерения Что бы исправить Контроль даты аттестации средств контроля / измерения по идентификационным табличкам / по графику поверки
"Операция контроля выполнена не в полном объеме, не правильно.",Ошибка контролера Что бы исправить Наблюдение за оператором согласно графика. Аудит процесса. Обнаружение несоответствующих комплектующих на последующих операциях
"Операция контроля выполнена не в полном объеме, не правильно.","Объем выборки и периодичность контроля недостаточны Что бы исправить Периодический пересмотр ПУ в соответсвии с процедурой, не реже 1-раза в год."
Размещение комплектующих в  нарушение планировочного решения,Размещение тары не по планировочному решению Что бы исправить Визуальный контроль размещения комплектующих при получении 
Отсутствие идентифицированой бирки на тарном месте,"Неполный комплект сопроводительных документов при поступлении комплектующих, несвоевременное оформление документации Что бы исправить Визуальный контроль за наличием сопроводительных документов на каждом тарном месте"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
"Нарушение условий хранения (температура, влажность, освещенность, расположение)","Хранение материала в несоответсвующих местах (несоответствие указателя и материала) Что бы исправить Визуальный контроль, периодический контроль температуры и влажности"
"Бирка не соответствует продукции;
бирка отсутствует",Ошибка при упаковке Что бы исправить 100% Визуальный контроль операции упаковки
